A
a, ab + ABL    от, из
imâgo, imaginis f    образ, изображение
imitatio, imitatiônis f    подражание
imitor, imitâtus sum imitâri 1    подражать
immundus, a, um    нечистый
impero, imperâvi, imperâtum 1    приказывать
im-pleo, plêvi, plêtum 2    наполнять
improbus, a, um    негодный, бесчестный
in
1. с Acc. на вопрос куда: в, на
 
2. с Abl. на вопрос где: в, на, среди
incipio, cêpi, ceptum 3    начинать
incola, ae m f    житель
inde    оттуда, затем
indico, indicâvi, indicâtum 1    указывать
indignâtus, a, um    возмущенный
in-duo, indui, indûtum 3    надевать
infans, infantis m    ребенок
ingens, gen: ingentis    огромный
initium, i n    начало
in-iuria, ae f    несправедливость
in-opia, ae f    бедность
inquam, inquit    говорить (недостаточный глагол)
inquîro, inquisîvi, inquisîtum 3    спрашивать
insipiens, gen: insipientis    неразумный
insula, ae f    остров
insum, fui, – , esse    быть внутри
intactus, a, um    нетронутый, целый
intellego, intellexi, intellectum 3    понимать
inter    среди
interdum    иногда
interea    между тем
inter-ficio, fêci, fectum 3    убивать
inter-rogo, rogâvi, rogâtum 1    спрашивать
inter-sum, fui, – , esse    принимать участие
intro, intrâvi, intrâtum 1    входить
invenio, vêni, ventum 4    находить
invidia, ae f    зависть
invîto, invitâvi, invitâtum 1    приглашать
iocus, i m    шутка
ipse, ipsa, ipsum    сам, самый
ira, irae f    гнев
ir-rideo, rîsi, rîsum 2    подшучивать
irritatio, irritatiônis f    раздражение
is, ea, id    этот, эта. это
iste, ista, istud    этот, вот этот
ita; itaque    итак
iter, itineris n    путь
iubeo, iussi, iussum 2    приказывать
iucundus, a, um    приятный
iudico, iudicâvi, iudicâtum 1    судить, считать
ius, iuris n    закон
I iuvenis, iuvene    юный
II iuveis, iuvenis m,f    юноша, девушка
iuvo, iuvi, iutum 1    помогать
 
L
labor, labôris m    работа, труд
labor, lapsus sum, labi 3    скользить, падать
labôro, laborâvi, laborâtum 1    работать
lac, lactis n    молоко
lacrima, ae f    слеза
lacus, i m    озеро
laetus, a, um    радостный
lamento, lamentâvi, lamentâtum 1    жаловаться
latus, a, um    широкий
laudo, laudâvi, laudâtum 1    хвалить
lavo, lavi, lautum 1    мыть
lectio, lectionis f    чтение, урок
legâtus, i m    легат, посол
lego, lêgi, lectum 3    говорить
lente    медленно
lepidus, a, um    изящный
levis, leve    легкий
lex, legis f    закон
libenter    охотно
liber, libri m    книга
liber, libera, liberum    свободный
liberi, liberôrum m    дети
libero, liberâvi, liberâtum 1    освобождать
libertas, libertâtis f    свобода
licens, gen: licentis    вольный
lilium, i n    лилия
lingua, ae f    язык
linquo, linqui, – , 3    оставлять
lis, litis f    спор, тяжба
litigo, litigâvi, litigâtum 1    спорить, ссориться
littera, ae f; litterae, litterârum f    буква; литература, письменность
loco, locâvi, locâtum 1    помещать, размещать
locus, i m    место
longus, a, um    длинный
loquor, locûtus sum, loqui 3    говорить
ludo, lisi, lusum 3    играть
ludus, i m    игра; школа
luna, ae f    луна
lupus, i m    волк
lux, lucis f    свет
luxiriôus, a, um    роскошный
 
M
maestus, a, um    печальный
magis    более, больше
magister, i m    наставник
magistra, ae f    наставница
magnus, a, um    большой
maior, maior, maius    больший (срав. степ.)
malo, maui, – , malle    предпочитать
malus, a, um    злой
maneo, mansi, mansum 3    оставаться
manus, us f    рука
mare, maris n    море
marîtus, i m    муж
mater, matris f    мать
matrôna, ae f    женщина
maximus, a, um    наибольший
medicamentum, i n    лекарство
medicîna, ae f    наука медицины
medicus, i n    врач
melior, melius    лучший
memini, meminisse; memento    помнить
memoria, ae f    память
mendax, gen: mendâcis    лживый
mens, mentis f    ум, разумение
mensa, ae f    стол
mensis, mensis m    месяц
mentior, mentîtus sum, mentîri 4    лгать
meus, mea, meum    мой, моя, мое
mihi    мне
miles, militis m    воин
mille; milia    тысяча; тысячи
minime    менее всего
minuo, minui, minûtum 3    уменьшать
miror, mirâtus sum, mirâri 1    удивляться
mirus, a, um    удивительный
miser, misera, miserum    маленький; несчастный
mitto, misi, missum 3    посылать
mobilis, mobile    подвижный
moderâtus, a, um    умеренный
modo    недавно
modus, modi m    образ, способ
molestia, ae f    неприятность, огорчение
mollis, molle    мягкий
moneo, monui, monitum 2    уговаривать, предостерегать
mons, montis m    гора
monstro, monstrâvi, monstrâtum 1    показывать
mora, ae f    промедление
morbus, i m    болезнь
morior, mortuus sum, mori; moritûrus    умирать
morôsus, a, um    своенравный
mors, mortis f    смерть
mortâlis, mortâle    смертный, смертельный
mos, moris m    обычай
moveo, môvi, môtum 2    двигать
mox    вскоре
mulier, mulieris f    женщина
multitûdo, multitûdinis f    множество
multus, a, um    многий
murus, i m    стена
mus, muris m    мышь
mutabilis, mutabile    изменчивый
muto, mutâvi, mutâtum 1    менять
mutus, a, um    немой
 
N
nam    ибо, ведь
narro, narrâvi, narrâtum 1    рассказывать
nascor, natus sum, nasci 3    рождаться
natûra, ae f    природа
nauta, ae m    моряк
navis, navis f    корабль
-ne    вопросительная частица: ли, разве
ne
(1) отрицательная частица, употр. с конъюнктивом не,
(2) союз чтобы не
nec = neque    и не
necessarius, a, um    необходимый
neco, necâvi, necâtum 1    убивать
neglego, neglexi, neglectum 3    пренебрегать
nego, negâvi, negâtum 1    отрицать
nemo    никто
nequeo, nequîvi, nequîtum, nequîre    не быть в состоянии
ne-scio, nescîvi, nescîtum 4    не знать
neuter, neutra, neutrum    ни один (из двух)
neve    и чтобы не
ni, nisi    если не, если бы не; кроме
niger, nigra, nigrum    черный
nihil = nil    ничто
nimis    слишком
nix, nivis f    снег
nobilis, nobile    знатный
noceo, nocui, nocitum 2    вредить
nomen, nominis n    имя
nomino, nominâvi, nominâtum 1    именовать
non    не, нет
nondum    еще не
nonne    неужели не, не ли
nonnullus, a, um    некоторый
nos    мы
noster, nostra, nostrum    наш
noto, notâvi, notâtum 1    отмечать
notus, a, um    известный
novus, a, um    новый
nox, noctis f    ночь
nubes, nubis f    облако
nudus, a, um    голый
nullus, a, um    никакой
num    разве
numerus, i m    число
numquam    никогда
nunc    теперь
nuntio, nuntiâvi, nuntiâtum 1    извещать
nuptiae, nuptiârum f    свадьба
nutrio, nutrîvi, nutrîtum 4    кормить
nux, nucis f    орех
 
O
ob + ACC    из-за, по причине
obliviscor, oblîtus sum, oblivisci 3    забывать (кого + DAT)
obscûrus, a, um    темный
ob-sum, fui, – ,esse    противодействовать
obtempero, obtemperâvi, obtemperâtum    повиноваться
oc-cido, cidi, câsum 3    падать, случаться
oc-cîdo, cîdi, cîsum 3    убивать
occupo, occupâvi, occupâtum 1    захватывать
oculus, i m    глаз
odium, i n    ненависть
olim    когда-то
omnîmo    вообще
omnis, omnis, omne    весь
oportet, oportuit, oportêre 3    нужно, следует (только третье лицо)
oppidum, i n    город
optimus, a, um    лучший
opulentus, a, um    богатый
opus, operis n    работа; произведение
oratio, oratiônis f    речь
orâtor, oratôris m    оратор
ornamentum, i n    украшение
ornâtus, us m    украшенный
orno, ornâvi, ornâtum 1    украшать
oro, orâvi, orâtum 1    говорить, просить
os, oris n    рот
os, ossis n    кость
ostendo, ostendi, ostentum 3    показывать
ostium, i n    вход
ovis, ovis f    овца
ovum, i n    яйцо
 
P
paedagôgus, i m    педагог
parcus, a, um    бережливый
parens, parentis m, f; parentes    родитель (отец, мать); родители
pareo, parui, – , 2    подчиняться
pario, peperi, partum 3    рождать
paro, parâvi, parâtum 1    готовить
pars, partis f    часть
parvus, a, um    маленький
pastor, pastôris m    пастух
pateo, patui, --, 2    быть открытым
pater, patris m    отец
patiens, gen: patientis    терпеливый
patior, passus sum, pati 3    терпеть
patria, ae f    родина
paulum = paulo    мало, немного
pauper, gen: pauperis    бедный
pax, pacis f    мир
pecunia, ae f    деньги
peior, peior, peius    худший, хуже
per + ACC    через, по
perigrînus, a, um    иноземный
per-fundo, fûdi, fûssum 3    обливать
periculum, i n    опасность
perîtus, a, um    опытный
perpetuus, a, um    постоянный
per-sevêro, severâvi, severâtum 1    упорствовать
pes, pedis m    нога
pessimus, a, um    наихудший
peto, petîvi, petîtum 3    просить, искать
pietas, pietâtis f    благочестие
piger, pigra, pigrum    ленивый
pius, a, um    набожный
placeo, placui, placitum 2    нравиться; постановлять
plaga, ae f    удар
planta, ae f    растение
plausus, us m    рукоплескание
plerumque    преимущественно
plures, plures, plure    более многочисленные, многие
plurimus, a, um    величайший
pluvia, ae f    дождь
poena, ae f    наказание
poêta, ae m    поэт
pono, posui, positum 3    класть
populus, i m    народ
porta, ae f    ворота
porto, portâvi, portâtum 1    нести
pos-sum, potui, – , posse    быть в силах, мочь
post + ACC    за, после
postea    потом
postquam    после того как, впоследствии
postulo, postulâvi, postulâtum 1    требовать
potestas, potestâtis f    сила
poto, potâvi, potum 1    пить
prae + ABL    перед, впереди
praebeo, praebui, praebitum 2    давать
praecipio, cêpi, ceptum 3    предписывать, наставлять
praecipue    преимущественно
prae-pono, posui, positum 3    ставить вперед, предпочитать
praesens, gen: presentis    настоящий
praeter + ACC    помимо, кроме
pretium, i n    цена
pridem    прежде, раньше
primus, a, um    первый
principium, i n    начало
prior, prius    первый
privâtus, a, um    частный; лишенный
privo, privâvi, privâtum 1    лишать (чего-либо)
pro + ABL    вперед, за
probo, probâvi, probâtum 1    ободрять, испытывать
procul    недалеко
pro-mitto, missi, missum 3    обещать
prope + ACC    близ, рядом
propero, properâvi, properâtum 1    идти
propter    по причине
pro-sum, profui, – , prodesse    помогать
proverbium, i n    изречение
proximus, a, um    ближайший
prudentia, ae f    рассудительность
publicus, a, um    публичный
puella, ae f    девочка
puer, pueri m    мальчик
pugno, pugnâvi, pugnâtum 1    сражаться
pulcher, pulchra, pulchrum    красивый
punio, punîvi, punîtum 4    наказывать
puto, putâvi, putâtum 1    думать, считать
 
Q
quadratus, a, um    четырехугольный
quaero, quaesîvi, quaesîtum 4    спрашивать
quaeso    прошу, пожалуйста
qualis, quale    какой
quam    как, насколько
quamdiu    как долго
quamquam    хотя, несмотря на то что
quantum=quanto    сколько
quantus, a, um    какой
-que    и
qui, quae, quod    который, какой
quia    потому что, так как
quidam, quaedam, quoddam    какой-то, некий
quidem    вероятно, действительно, в самом деле
quies, quiêtis f    покой
quiesco, quiêvi, quiêtum 3    отдыхать
quilibet, quaelibet, quodliet    каждый, любой
quis, quid    кто, что
quisque, quaeque, quidque    каждый
quisquis, quidquid    кто бы ни, что бы ни, всякий кто, все что
quivis, quaevis, quodvis    какой угодно
quo    куда
quod    что, потому что
quomodo    каким образом, как
quondam    когда-то, некогда
quoniam    так как, потому что
quoque    также, тоже
quot    сколько
quotiens    сколько раз
 
R
rapidus, a, um    быстрый
rapio, rapui, raptum 3    хватать
rarus, a, um    редкий
ratio, ratiônis f    расчет, мысль
recens, gen: recentis    свежий, недавний
recito, recitâvi, recitâtum 1    читать вслух, произносить
recte    правильно
rectus, a, um    прямой
re-fugio, fûgi, fugitum 3    убегать
regio, regiônis f    область
regno, regnâvi, regnâtum 1    править
regula, ae f    правило
remedium, i n    лекарство
reor, ratus sum, reri 2    считать, думать
re-paro, parâvi, parâtum 1    обновлять
repetitio, repetitiônis f    повторять
res, rei f
res gestae
res pulica
res secundae    вещь, дело, предмет    история, деяния, подвиги    государство, республика    благополучие, успех
respondeo, respondi, responsum 2    отвечать
reverentia, ae f    почет
rex, regis m    царь
rideo, risi, risum 2    смеяться
ritus, us m    ритуал
rixa, ae f    ссора
rogo, rogâvi, rogâtum 1    спрашивать
rosa, ae f    роза
rotundus, a, um    круглый
ruber, rubra, rubrum    красный
rus, ruris n    деревня
rusticus, a, um    деревенский
 
S
sacer, sacra, sacrum    священный
sacrificio, sacrificâvi, sacrificâtum 1    приносить жертву
saeculum, i n    век
saepe    часто
sal, salis m    соль
salio, salui, saltum 4    прыгать
salto, saltâvi, saltâtum 1    танцевать, прыгать
salus, salûtis f    благо, благополучие
salveo 2    быть здоровым, приветствовать
salvus, a, um    здоровый
sane    хорошо, верно
sano, sanâvi, sanâtum 1    исцелять
sanus, a, um    здоровый
sapiens, gen: sapientis    мудрый
sapientia, ae f    мудрость
sarcina, ae f    груз, бремя
satis = sat    достаточно
schola, ae f    школа
scientia, ae f    наука
scio, scivi (ii), scitum 4    знать
scribo, scripsi, scriptum 3    писать
secrêto    тайно
secundum + ACC    по, согласно
secûris, secûris f    топор
sed    но
sedeo, sedi, sessum 2    сидеть
semel    однажды
semper    всегда
sempiternus, a, um    вечный
senectus, senectûtis f    старость
senex, senis m,f    старик, старуха
sententia, ae f    суждение
sentio, sensi, sensum 4    чувствовать, замечать
sepulcrum, i n    гробница
sequor, secûtus sum, sequi 3    следовать
serenus, a ,um    ясный
sermo, sermônis m    речь, беседа
sero    поздно
sertivus, servitûtis f    рабство
servo, servâvi, servâtum 1    служить
servus i m    раб
seu = sive; seu... seu    или; то ли... то ли
severitas, severitâtis f    строгость
sevêrus, a, um    строгий
si    если
sic; ut... sic    так; как ... так
signum, i n    знак
silentium, i n    тишина
silva, ae f    лес
simia, ae f    обезьяна
similis, simile    похожий
simul    одновременно
simul, simulac    как только, лишь только
sine + ABL    без
singulâris, singulâre    единичный, исключительный
sinister, sinistra, sinistrum    левый
sitio, sitîvi (ii), sitîtum 4    жаждать
situs, a, um    расположенный
sive=seu    или
sobrietas, sobrietâtis f    трезвость
socius, i m    товарищ
sol, solis m    солнце
soleo, solutus sum, solêre 2    иметь обыкновение
solum; non solum, ...sed etiam    только; не только... но и
solus, a, um    один
somnus, i m    сон
sordidus, a, um    грязный
soror, sorôris f    сестра
sors, sortis f    жребий
spectâtor, spectatôris m    зритель
specto, spectâvi, spectâtum 1    смотреть
sperno, sprevi, spretum 3    пренебрегать
spero, sperâvi, sperâtum 1    надеяться
spes, spei f    надежда
spiritus, us m    дуновение, дух
splendidus, a, um    светлый
sponte    добровольно
statim    немедленно
statuo, statui, statûtum 3    устанавливать
status, us m    состояние
stella, ae f    звезда
stilus, i m    резец, стиль
sto, steti, statum 1    стоять
studeo, studui, – , 2    стараться; изучать
studiôse    старательно
studium, i n    старание; наука
stultitia, ae f    глупость
stultus, a, um    глупый
sub + ACC    под
sub + ABL    под
subito    внезапно
sui    себя
sum, fui, – , esse    быть
summus, a, um    высший
sumo, sumpsi, sumptum 3    брать, принимать
super    над, наверху
superbus, a, um    высокомерный
super, superâvi, superâtum 1    превосходить
supervacuus, a, um    излишний
suprêmus, a, um    самый высокий
suspendo, pensi, pensum 3    вешать
suus, a, um    свой
 
T
tabella, ae f    дощечка
tablînum, i n    кабинет
tabula, ae f    доска, таблица
taceo, tacui, tacitum 2    молчать
talis, tale    такой
tam    так, настолько
tamen    однако
tandem    наконец
tango, tetigi, tectum 3    трогать, касаться
temere    легкомысленно
tempero, temperâvi, temperâtum 1    овладевать
tempestas, tempestâtis f    время, погода; буря
templum, i n    храм
tempus, temporis n    время
teneo, tenui, tentum 2    держать
tenuis, tenue    тонкий, утонченный
terra, ae f    земля
territo, territâvi, – , 1    пугать, сильно устрашать
timeo, timui, – , 2    бояться
timor, timôris m    страх
tolero, tolerâvi, tolerâtum 1    переносить
tot    столько
totiens    столько раз
totus, a, um    целый, весь
tra-do, didi, ditum 3    передавать
traho, traxi, tractum 3    тащить
tranquillitas, tranquillitâtis f    покой, тишина
trans + AСС    через, за
translatio, translatiônis f    перенос, перевод
tribuo, tribui, tribûtum 3    делить, присуждать
tristis, triste    печальный
tristia, ae f    печаль
tu    ты
tuba, ae f    труба
tum; cum... tum    тогда; как... так
tunica, ae f    туника
turbo, turâvi, turâtum 1    смешивать
turpis, turpe    безобразный, постыдный
turpiter    постыдно
tutus, a, um    безопасный
tuus, a, um    твой
ubi    где
ultimus, a, um    последний
ultra + AСС    за, по ту сторону
unda, ae f    волна
unde    откуда
unusquisque, unaquaeque,  unumquodque    каждый
urbs, urbis f    город
ursus, i m    медведь
usque    безостановочно, вплоть до
ut    как
ut    чтобы; как только
uter, utra, utrum    который (из двух)
uterque, utraque, utrumque    и тот и другой
utilis, utile    полезный
utinam    о, если бы
utor, usus sum, uti 3    употреблять
uva, ae f    виноград
uxor, uxôris f    жена
 
V
valde    очень
valeo, valui, – , 2    желать
varius, a, um    разнообразный
vasto, vastâvi, vastâtum 1    опустошать
vel    или
velut    словно как
vendo, vendidi, venditum 3    продавать
venio, vêni, ventum 4    приходить
ventus, i m    ветер
ver, veris n    весна
verbero, verberâvi, verberâtum 1    хлестать
verbum, i n    слово
vere    правдиво
verum, i n    правда
verum    тем не менее, но
verus, a, um    правдивый
verter, vestra, vestrum    ваш, ваша, ваше
vestimentum, i n    одежда
vestio, vestîvi, vestîtum 4    одевать
vestis, vestis f    одежда
vexo, vexâvi, vexâtum 1    беспокоить
via, viae f    путь
vicînus, a ,um    соседний
victor, victôris m    победитель
victoria, ae f    победа
victus, us m    пища
vicus, i m    село, деревня
video, vîdi, vîsum 2    видеть
vilis, ville    дрянной
villa, ae f    вилла
vinco, vici, victum 3    побеждать
vinum, i n    вино
viola, ae f    фиалка
vipera, ae f    змея
vir, viri m    муж, мужчина
virgo, virginis f    девушка
virtus, virtûtis f    доблесть
vis (acc. vim, abl. vi, plur. vim)    сила
visito, visitâvi, visitâtum 1    посещать
vita, ae f    жизнь
vitium, i n    порок
vito, vitâvi, vitâtum 1    избегать
vitupero, vituperâvi, vituperâtum 1    порицать
vivo, vixi, victum 3    жить
voco, vocâvi, vocâtum 1    звать
volo, volui, – , velle    желать
voluptas, voluptâtis f    удовольствие
vos    вы
vox, vocis f    голос
vulgâris, vulgâre    обыденный
vulgus, i n    простонародье
vulnus, vulneris n    рана
